sepal_length,sepal_width,petal_length,petal_width,.gmlFile,NetworkType,SubType
7,3.2,4.7,1.4,0.315252867,biological,versicolor
6.4,3.2,4.5,1.5,0.037342174,biological,versicolor
6.9,3.1,4.9,1.5,0.139141741,biological,versicolor
5.5,2.3,4,1.3,0.356512933,biological,versicolor
6.5,2.8,4.6,1.5,0.586467568,biological,versicolor
5.7,2.8,4.5,1.3,0.605422448,biological,versicolor
6.3,3.3,4.7,1.6,0.11931764,biological,versicolor
4.9,2.4,3.3,1,0.318424206,biological,versicolor
6.6,2.9,4.6,1.3,0.436728169,biological,versicolor
5.2,2.7,3.9,1.4,0.169542034,biological,versicolor
5,2,3.5,1,0.345163799,biological,versicolor
5.9,3,4.2,1.5,0.215170608,biological,versicolor
6,2.2,4,1,0.122183271,biological,versicolor
6.1,2.9,4.7,1.4,0.04891099,biological,versicolor
5.6,2.9,3.6,1.3,0.698334368,biological,versicolor
6.7,3.1,4.4,1.4,0.364018944,biological,versicolor
5.6,3,4.5,1.5,0.269204454,biological,versicolor
5.8,2.7,4.1,1,0.360108688,biological,versicolor
6.2,2.2,4.5,1.5,0.107088904,biological,versicolor
5.6,2.5,3.9,1.1,0.141159416,biological,versicolor
5.9,3.2,4.8,1.8,0.946130279,biological,versicolor
6.1,2.8,4,1.3,0.216471529,biological,versicolor
6.3,2.5,4.9,1.5,0.084179917,biological,versicolor
6.1,2.8,4.7,1.2,0.588333433,biological,versicolor
6.4,2.9,4.3,1.3,0.203672193,biological,versicolor
6.6,3,4.4,1.4,0.068172404,biological,versicolor
6.8,2.8,4.8,1.4,0.685517784,biological,versicolor
6.7,3,5,1.7,0.246690907,biological,versicolor
6,2.9,4.5,1.5,0.128253876,biological,versicolor
5.7,2.6,3.5,1,0.133188523,biological,versicolor
5.5,2.4,3.8,1.1,0.173773971,biological,versicolor
5.5,2.4,3.7,1,0.582806544,biological,versicolor
5.8,2.7,3.9,1.2,0.578199732,biological,versicolor
6,2.7,5.1,1.6,0.528844488,biological,versicolor
5.4,3,4.5,1.5,0.150976505,biological,versicolor
6,3.4,4.5,1.6,0.818731834,biological,versicolor
6.7,3.1,4.7,1.5,0.156296351,biological,versicolor
6.3,2.3,4.4,1.3,0.922459095,biological,versicolor
5.6,3,4.1,1.3,0.224845591,biological,versicolor
5.5,2.5,4,1.3,0.588220813,biological,versicolor
5.5,2.6,4.4,1.2,0.627883753,biological,versicolor
6.1,3,4.6,1.4,0.64045292,biological,versicolor
5.8,2.6,4,1.2,0.308456207,biological,versicolor
5,2.3,3.3,1,0.738923244,biological,versicolor
5.6,2.7,4.2,1.3,0.14167088,biological,versicolor
5.7,3,4.2,1.2,0.112652,biological,versicolor
5.7,2.9,4.2,1.3,0.138189601,biological,versicolor
6.2,2.9,4.3,1.3,0.095745454,biological,versicolor
5.1,2.5,3,1.1,0.068025863,biological,versicolor
5.7,2.8,4.1,1.3,0.62397245,biological,versicolor
6.3,3.3,6,2.5,0.294687716,biological,virginica
5.8,2.7,5.1,1.9,0.153479091,biological,virginica
7.1,3,5.9,2.1,0.799114077,biological,virginica
6.3,2.9,5.6,1.8,0.793361436,biological,virginica
6.5,3,5.8,2.2,0.228367388,biological,virginica
7.6,3,6.6,2.1,0.189489126,biological,virginica
4.9,2.5,4.5,1.7,0.892722292,biological,virginica
7.3,2.9,6.3,1.8,0.691019489,biological,virginica
6.7,2.5,5.8,1.8,0.158001287,biological,virginica
7.2,3.6,6.1,2.5,0.138515584,biological,virginica
6.5,3.2,5.1,2,0.004647336,biological,virginica
6.4,2.7,5.3,1.9,0.29151329,biological,virginica
6.8,3,5.5,2.1,0.970867447,biological,virginica
5.7,2.5,5,2,0.066833241,biological,virginica
5.8,2.8,5.1,2.4,0.348284357,biological,virginica
6.4,3.2,5.3,2.3,0.472163941,biological,virginica
6.5,3,5.5,1.8,0.562225736,biological,virginica
7.7,3.8,6.7,2.2,0.634103686,biological,virginica
7.7,2.6,6.9,2.3,0.869281461,biological,virginica
6,2.2,5,1.5,0.701967614,biological,virginica
6.9,3.2,5.7,2.3,0.923125811,biological,virginica
5.6,2.8,4.9,2,0.91894626,biological,virginica
7.7,2.8,6.7,2,0.983361647,biological,virginica
6.3,2.7,4.9,1.8,0.108310067,biological,virginica
6.7,3.3,5.7,2.1,0.623795654,biological,virginica
7.2,3.2,6,1.8,0.498941494,biological,virginica
6.2,2.8,4.8,1.8,0.086830521,biological,virginica
6.1,3,4.9,1.8,0.761863712,biological,virginica
6.4,2.8,5.6,2.1,0.321206379,biological,virginica
7.2,3,5.8,1.6,0.514498107,biological,virginica
7.4,2.8,6.1,1.9,0.622283945,biological,virginica
7.9,3.8,6.4,2,0.108807403,biological,virginica
6.4,2.8,5.6,2.2,0.598433863,biological,virginica
6.3,2.8,5.1,1.5,0.309135316,biological,virginica
6.1,2.6,5.6,1.4,0.578651805,biological,virginica
7.7,3,6.1,2.3,0.048848829,biological,virginica
6.3,3.4,5.6,2.4,0.34215656,biological,virginica
6.4,3.1,5.5,1.8,0.292956538,biological,virginica
6,3,4.8,1.8,0.473068254,biological,virginica
6.9,3.1,5.4,2.1,0.747346546,biological,virginica
6.7,3.1,5.6,2.4,0.705031699,biological,virginica
6.9,3.1,5.1,2.3,0.794311135,biological,virginica
5.8,2.7,5.1,1.9,0.697405198,biological,virginica
6.8,3.2,5.9,2.3,0.329192922,biological,virginica
6.7,3.3,5.7,2.5,0.250097082,biological,virginica
6.7,3,5.2,2.3,0.258968301,biological,virginica
6.3,2.5,5,1.9,0.834838994,biological,virginica
6.5,3,5.2,2,0.895398895,biological,virginica
6.2,3.4,5.4,2.3,0.947652326,biological,virginica
5.9,3,5.1,1.8,0.342846121,biological,virginica
